ques,op1,op2,op3,op4,op5,"m,n",ans,sol,topic
"<p align=""justify""> <font face=""Cambria Math, serif"">Schiffs and Piria method is used for the estimation of:</font></p>",   Nitrogen     ,   Sulphur     ,   Halogens   ,   Oxygen      ,,,3 ," <p> <img align=""bottom"" height=""29"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_45e565cc143ed6ad.gif"" width=""297""/> </p> <p><font face=""Cambria Math, serif"">Cool the solution and add dil. </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c575ed7c41290d53.gif""/> <font face=""Cambria Math, serif""> and then </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_3744356cd37238a9.gif""/> <font face=""Cambria Math, serif""> A precipitate of </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_29f329668c4214c2.gif""/> <font face=""Cambria Math, serif""> is dried and weighed and the % of halogen is obtained as usual. This is Schiffs and Piria method. </font> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Select the strongest acid:</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_7096049f24ec9f10.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_defaf38373e8c58.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b609a6c04b44aebd.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_d3e57988ac3d4958.gif""/>     ",,,1 ," <p> <font face=""Cambria Math, serif"">See the influence of </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_fa57a7b1bda06c83.gif""/> <font face=""Cambria Math, serif""> of Cl-atom. The negative charge on carboxy late ion is dispersed more in presence of two Cl-atoms.</font></p> <p> <img align=""bottom"" height=""57"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e21ff530ffce3412.gif"" width=""140""/> </p> <p><font face=""Cambria Math, serif"">The </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_4144e9e51bc34b36.gif""/> <font face=""Cambria Math, serif""> order F &gt; Cl &gt; Br &gt; I.</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The most acidic of the following is</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_328700c365547f6f.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_1b849c8cf0ccd300.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_9094c882023e7bc7.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_34db8adf9342244c.gif""/>     ",,,1 ," <p><font face=""Cambria Math, serif"">Any electron withdrawing group increases the acidity due to –</font><font face=""Cambria Math, serif""><i>I</i></font><font face=""Cambria Math, serif""> effect. The –</font><font face=""Cambria Math, serif""><i>I</i></font><font face=""Cambria Math, serif""> effect of chlorine is greater than phenyl group. Hence, </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_328700c365547f6f.gif""/> <font face=""Cambria Math, serif""> is the most acidic compound among these.</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The formula of a compound which gives simple whole number atomic ratio in one molecule of a compound is called:</font></p>",   Structure formula     ,   Molecular formula     ,   Empirical formula   ,   Projection formula      ,,,3," <p><font face=""Cambria Math, serif"">Molecular formula = integer</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_2bf7769d8d0ad795.gif""/> <font face=""Cambria Math, serif""> empirical formula. </font> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Which of the following is a better reducing agent for the following reduction? </font> </p> <p align=""left""><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_cf596e92f7777474.gif""/> ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_acd98e493da1db7c.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_18460168a717d603.gif""/> ether   ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c41c409d659551cd.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_9bcd0060175a04e8.gif""/>     ",,,4 ," <p> <font face=""Cambria Math, serif"">Carboxylic acids when treated with either diborane or LAH, get reduced to primary alcohols. Diborane is a better reagent than LAH for such conversion, as it does not affect other functional groups such as ester, intro, holo etc.</font></p> <p align=""left""><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_d3ebd11e7166641d.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Alkaline hydrolysis of </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_49b53b3588bf8e89.gif""/> <font face=""Cambria Math, serif""> gives a compound which on heating with </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b21723de0c46f4ab.gif""/> <font face=""Cambria Math, serif""> produces a yellow precipitate of </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_9148c3c8e098db5.gif""/> <font face=""Cambria Math, serif"">. The compound should be</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_fcff3caa4be682f7.gif""/>    ","   <img align=""bottom"" height=""42"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_1454a32da92c2e7c.gif"" width=""123""/>          ","   <img align=""bottom"" height=""42"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_10daa40a095beb60.gif"" width=""164""/>    ","   <img align=""bottom"" height=""42"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_59d11a3e92b3115d.gif"" width=""157""/>     ",,,2 ," <p> <img align=""bottom"" height=""147"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_5dc75d91d131234f.gif"" width=""285""/> </p> <p><font face=""Cambria Math, serif"">(Remember! Only methyl ketones give iodoform test.)</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The most appropriate reagent to distinguish between acetaldehyde and formaldehyde is</font></p>",   Fehling’s solution   ,   Tollen’s reagent         ,   Schiff’s reagent   ,   Iodine in presence of base    ,,,4 ," <p> <font face=""Cambria Math, serif"">Iodine in presence of base is used to detect presence of </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_bcd28d3e829901a4.gif""/> <font face=""Cambria Math, serif""> group in compound.</font></p> <p> <font face=""Cambria Math, serif"">O</font></p> <p> <font face=""Cambria Math, serif"">||</font></p> <p> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_595b7b6e5285d2fe.gif""/> <font face=""Cambria Math, serif"">No reaction </font> </p> <p> <font face=""Cambria Math, serif""><font>formaldehyde</font></font></p> <p> <font face=""Cambria Math, serif"">O</font></p> <p> <font face=""Cambria Math, serif"">||</font></p> <p align=""left""> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_3e9c9f2071ec2b81.gif""/> </p> <p> <font face=""Cambria Math, serif""><font>acetaldehyde yellow ppt.</font></font></p> <p><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_57928a5d7634e0c1.gif""/> <font face=""Cambria Math, serif"">Formaldehyde and acetaldehyde are distinguished by using </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_4eee884a3ff62713.gif""/> <font face=""Cambria Math, serif"">and base.</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Which will form two oximes with </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c9f8f4b549b5c30f.gif""/> ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_8dfa18aea5fe73aa.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_ddb07e01a0443377.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_eb240122a1733ae.gif""/>    ","   <img align=""bottom"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_8e57db9a7d6bec1b.gif""/>     ",,,2,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">What is the final product of the following reaction?</font></p> <p><img align=""bottom"" height=""94"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_7e41504ec9e79000.gif"" width=""215""/> ","   <img align=""bottom"" height=""108"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c9ff43ce226a04cf.gif"" width=""81""/>    ","   <img align=""bottom"" height=""89"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_8ca043aff308e89a.gif"" width=""86""/>    ","   <img align=""bottom"" height=""107"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_ed8886a2b3bf984b.gif"" width=""116""/>    ","   <img align=""bottom"" height=""96"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_969dbe6189114038.gif"" width=""109""/>     ",,,4 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The reaction of acetaldehyde with Tollen’s reagent gives</font></p>",   Silver acetate   ,   Methyl alcohol   ,   Formaldehyde   ,   Acetic acid    ,,,4 ," <p> <font face=""Cambria Math, serif"">Acetaldehyde reduces Tollen’s reagent and itself is oxidised to acetic acid.</font></p> <p align=""left""><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_5392e3f476c99e2a.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Aldol condensation is given by:</font></p>",   Aldehydes only having α-hydrogen atom           ,   Aldehydes and ketones having α-hydrogen atom         ,   Ketones only having α-hydrogen atom         ,   Aldehydes having α-hydrogen atom    ,,,2 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Isoelectric point is the pH at which :</font></p>",   An amino acid becomes acidic           ,   An amino acid becomes basic           ,   Zwitter ion has positive charge           ,   Zwitter ion has zero charge      ,,,4,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Ascorbic acid is a/an:</font></p>",   Vitamin C   ,   Enzyme     ,   Protein     ,   None of these      ,,,1 ," <p align=""justify""><font face=""Cambria Math, serif"">Ascorbic acid </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_fd344f8feff1d386.gif""/> <font face=""Cambria Math, serif""> is called vitamin C, found in citrus fruits. </font> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Lacrymator or tear gas is:</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_2bfaf17def854588.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_a3263fb23e9ec740.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_fa09876b5cef7d11.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c26ea78426b5ac04.gif""/>     ",,,3 ," <p><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_8cc2878345b08de9.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Which acid derivatives on hydrolysis will give brown precipitate with Nessler’s reagent?</font></p>",   Acid chloride     ,   Acid anhydride   ,   Acid amide     ,   All of these      ,,,3 ," <p><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_708da6abedb6942e.gif""/> <font face=""Cambria Math, serif"">.</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">In a set of the given reactions, acetic acid yielded a product <i>C.</i></font></p> <p align=""left""> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_23116178a4f5e4a9.gif""/> </p> <p align=""left""> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_6029ba7b29d17127.gif""/> </p> <p> <br/> </p> <p><font face=""Cambria Math, serif"">Product<i> C </i>would be</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_83c4088564be3ecc.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_8588a94f9a4473fe.gif""/>   | <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_d4a93e6067e6750d.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_6a37f25a9e9006c3.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_391d127c32bff7bf.gif""/>     ",,,2," <p> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f085d325c0f3d79f.gif""/> </p> <p> <font face=""Cambria Math, serif"">(<i>A</i>) </font> </p> <p><img align=""bottom"" height=""70"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_13364262ceba436a.gif"" width=""289""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Formic acid:</font></p>",   Is immiscible with water         ,   Reduces ammoniacal silver nitrate         ,   Is a weak acid nearly three and a half times weaker than acetic acid         ,   Is prepared by heating potassium hydroxide      ,,,2 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The number of aldol reaction(s) that occurs in the given transformation is:</font></p> <p><img align=""bottom"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_362ce5d525023643.gif""/> ",   1   ,   2   ,   3   ,   4    ,,,3 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Reactivity of acids in esterification follows the order:</font></p>","   HCOOH &gt;  <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_47f5501e3905af74.gif""/> COOH &gt;  <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_880b9b427451e520.gif""/> COOH &gt;  <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e035fc1f979832a6.gif""/> CHCOOH &gt;  <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_798ff91a2707d7d1.gif""/> CCOOH         ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b609a6c04b44aebd.gif""/> &gt; HCOOH &gt;  <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_798ff91a2707d7d1.gif""/> CCOOH &gt;  <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e035fc1f979832a6.gif""/> CHCOOH &gt;  <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_880b9b427451e520.gif""/> COOH         ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_798ff91a2707d7d1.gif""/> CCOOH &gt;  <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e035fc1f979832a6.gif""/> CHCOOH &gt;  <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_880b9b427451e520.gif""/> COOH &gt;  <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b609a6c04b44aebd.gif""/>  &gt; HCOOH         ",   None of the above    ,,,1 ," <p><font face=""Cambria Math, serif"">Notice + <i>IE </i>of alkyl group which intensifies the –ve charge on carboxylate ion and thus, makes it more reactive. The acid therefore becomes more stable. </font> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The most suitable reagent <i>A</i>, for the reaction</font></p> <p> <img align=""bottom"" height=""73"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_1234f2db6ce3e42f.gif"" width=""223""/> </p> <p><font face=""Cambria Math, serif"">is/are</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_db4e1395307715d5.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_6e8d3ee5ae0dbb6b.gif""/>          ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b959ff116f0d18d5.gif""/>    ",   <i>m</i>-chloroperbenzoic acid    ,,,4," <p> <font face=""Cambria Math, serif"">Baeyer-Villiger oxidation involves transformation of a ketone into ester by reaction with a peracid. The net change is the insertion of an oxygen atom between the carbonyl carbon and an adjacent carbon of the ketone. So, it is an example of Baeyer-Villiger oxidation, the most suitable reagent is </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_dacbc5c1cbb7e783.gif""/> <font face=""Cambria Math, serif"">-chloroperbenzoic acid</font></p> <p><img align=""bottom"" height=""73"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_9bb04a62cad49e84.gif"" width=""290""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Three of the following four reactions are due to one similar feature of carbonyl compounds, while the fourth one is different. Which one is fourth?</font></p>",   Aldol condensation   ,   Knoevenagel reaction         ,   Witting reaction   ,   Haloform reaction    ,,,3 ," <p><font face=""Cambria Math, serif"">Aldol condensation, haloform reaction and knovengel reaction involve the formation of a resonance stabilised anion, while the Wittig reaction involves the addition of a nucleophile on the carbonyl carbon. The driving force for the Wittig reaction is the formation of a very strong </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_815a1b90d1af3f0a.gif""/> <font face=""Cambria Math, serif""> bond</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The relative reactivities of acyl compounds towards nucleophilic substitution are in the order of:</font></p>",   Ester &gt; Acyl chloride &gt; Amide &gt; Acid anhydride           ,   Acid anhydride &gt; Amide &gt; Ester &gt; Acyl chloride         ,   Acyl chloride &gt; Ester &gt; Acid anhydride &gt; Amide           ,   Acyl chloride &gt; Acid anhydride &gt; Ester &gt; Amide      ,,,4 ," <p><font face=""Cambria Math, serif"">Better is leaving gp, higher will be reactivity of acyl compound towards nucleophile acyl substitution. Weaker is the base, better is leaving gp. Stronger is base, weaker is its acid and </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b76020ba114d537c.gif""/> <font face=""Cambria Math, serif"">-</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_fda5d0e037908b29.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">With the help of following Grignard synthesis which carboxylic acid is formed?</font></p> <p align=""left""><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_2dbba7e2cc45550e.gif""/> ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_ddc7aeb1c7b011a7.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_2d3ded8725971382.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_a9d2ba8c6929369a.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_7ac04f47061257b0.gif""/>     ",,,1 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Oxalic acid on treatment with conc. </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_3be1b165d96b86e1.gif""/> <font face=""Cambria Math, serif""> gives:</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c9f3cd5349fb731d.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_d0cc2b7c2244873.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_202a5eb0c179723.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_a7b48e1adba5542c.gif""/>     ",,,2,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The reaction product of the compound ‘</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_a139d39760d1747e.gif""/> <font face=""Cambria Math, serif""> with excess of methyl magnesium iodide followed by acidification yields </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_65e723d5093f8533.gif""/> <font face=""Cambria Math, serif"">-butanol. The compound </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e220410307313807.gif""/> <font face=""Cambria Math, serif""> is:</font></p>",   Methanal     ,   Ethanal     ,   Propanal     ,   Methyl ethanoate      ,,,4 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
